#time	operator	index_1	index_2	value
3.5	ZZ	1	3	-0.039936813805455
3.5	ZZ	2	1	0.151350899524391
3.5	ZZ	2	3	0.0698335554043041
3.5	ZZ	3	1	-0.039936813805455
3.5	ZZ	3	2	0.0698335554043041

3.6	ZZ	1	2	0.122868628552952
3.6	ZZ	1	3	0.0493077689984551
3.6	ZZ	2	1	0.122868628552952
3.6	ZZ	2	3	0.0371182981625326
3.6	ZZ	3	1	0.0493077689984551
3.6	ZZ	3	2	0.0371182981625326

3.7	ZZ	1	2	0.101898297400626
3.7	ZZ	1	3	0.125528920833519
3.7	ZZ	2	1	0.101898297400626
3.7	ZZ	2	3	0.0096354592144719
3.7	ZZ	3	1	0.125528920833519
3.7	ZZ	3	2	0.0096354592144719

3.8	ZZ	1	2	0.0985622292421039
3.8	ZZ	1	3	0.169345486729137
3.8	ZZ	2	1	0.0985622292421039
3.8	ZZ	2	3	-0.00335335282265878
3.8	ZZ	3	1	0.169345486729137
3.8	ZZ	3	2	-0.00335335282265878

3.9	ZZ	1	2	0.116661284174372
3.9	ZZ	1	3	0.172717525117155
3.9	ZZ	2	1	0.116661284174372
3.9	ZZ	2	3	0.00239369271379258
3.9	ZZ	3	1	0.172717525117155
3.9	ZZ	3	2	0.00239369271379258

4	ZZ	1	2	0.152899041409631
4	ZZ	1	3	0.14066799075229
4	ZZ	2	1	0.152899041409631
4	ZZ	2	3	0.0251527836934721
4	ZZ	3	1	0.14066799075229
4	ZZ	3	2	0.0251527836934721

4.1	ZZ	1	2	0.1982717234166
4.1	ZZ	1	3	0.0888297540380546
4.1	ZZ	2	1	0.1982717234166
4.1	ZZ	2	3	0.0582975219979917
4.1	ZZ	3	1	0.0888297540380546
4.1	ZZ	3	2	0.0582975219979917

4.2	ZZ	1	2	0.24107246866579
4.2	ZZ	1	3	0.0378654865100387
4.2	ZZ	2	1	0.24107246866579
4.2	ZZ	2	3	0.0928747655618423
4.2	ZZ	3	1	0.0378654865100387
4.2	ZZ	3	2	0.0928747655618423

4.3	ZZ	1	2	0.270504661312243
4.3	ZZ	1	3	0.00670740024229555
4.3	ZZ	2	1	0.270504661312243
4.3	ZZ	2	3	0.120751559550068
4.3	ZZ	3	1	0.00670740024229555
4.3	ZZ	3	2	0.120751559550068

4.4	ZZ	1	2	0.279782340974381
4.4	ZZ	1	3	0.00679707268903296
4.4	ZZ	2	1	0.279782340974381
4.4	ZZ	2	3	0.13727490200187
4.4	ZZ	3	1	0.00679707268903296
4.4	ZZ	3	2	0.13727490200187

4.5	ZZ	1	2	0.267829347151204
4.5	ZZ	1	3	0.0390457767037452
4.5	ZZ	2	1	0.267829347151204
4.5	ZZ	2	3	0.142612269655785
4.5	ZZ	3	1	0.0390457767037452
4.5	ZZ	3	2	0.142612269655785

4.6	ZZ	1	2	0.239176963776848
4.6	ZZ	1	3	0.0942731065171865
4.6	ZZ	2	1	0.239176963776848
4.6	ZZ	2	3	0.141415347676064
4.6	ZZ	3	1	0.0942731065171865
4.6	ZZ	3	2	0.141415347676064

4.7	ZZ	1	2	0.202234722178051
4.7	ZZ	1	3	0.156749609774625
4.7	ZZ	2	1	0.202234722178051
4.7	ZZ	2	3	0.141006594914299
4.7	ZZ	3	1	0.156749609774625
4.7	ZZ	3	2	0.141006594914299

4.8	ZZ	1	2	0.166587940413286
4.8	ZZ	1	3	0.209530779255348
4.8	ZZ	2	1	0.166587940413286
4.8	ZZ	2	3	0.148747713104562
4.8	ZZ	3	1	0.209530779255348
4.8	ZZ	3	2	0.148747713104562

4.9	ZZ	1	2	0.140218261287317
4.9	ZZ	1	3	0.239803280446475
4.9	ZZ	2	1	0.140218261287317
4.9	ZZ	2	3	0.169472881526284
4.9	ZZ	3	1	0.239803280446475
4.9	ZZ	3	2	0.169472881526284

5	ZZ	1	2	0.127492554568761
5	ZZ	1	3	0.242582263651461
5	ZZ	2	1	0.127492554568761
5	ZZ	2	3	0.203802542926963
5	ZZ	3	1	0.242582263651461
5	ZZ	3	2	0.203802542926963

