#time	operator	index	value
3.1	Y	3	7.15645716151074e-15
3.1	Z	3	0.432683613103849

3.2	X	1	5.46821481941531e-15
3.2	Y	1	-4.55135055536188e-15
3.2	Z	1	0.451270164107162
3.2	X	2	-3.14781923026142e-15
3.2	Y	2	2.05679251226237e-15
3.2	Z	2	0.70154092369005
3.2	X	3	-1.94261833220073e-15
3.2	Y	3	5.97937548394133e-15
3.2	Z	3	0.394890838054428

3.3	X	1	4.45040642261941e-15
3.3	Y	1	-5.96072143864067e-15
3.3	Z	1	0.455473759708057
3.3	X	2	-2.45771477048428e-15
3.3	Y	2	3.42701594567468e-15
3.3	Z	2	0.72151067652651
3.3	X	3	-2.16993020237214e-15
3.3	Y	3	4.84081596594403e-15
3.3	Z	3	0.385168096900587

3.4	X	1	2.69823582154369e-15
3.4	Y	1	-6.61491166321348e-15
3.4	Z	1	0.480157862605506
3.4	X	2	-1.37644442694579e-15
3.4	Y	2	4.2504986863379e-15
3.4	Z	2	0.693570921517319
3.4	X	3	-2.62763282853064e-15
3.4	Y	3	4.0556624102605e-15
3.4	Z	3	0.402730570350942

3.5	X	1	3.47232548607358e-16
3.5	Y	1	-6.45484549189718e-15
3.5	Z	1	0.520790265157292
3.5	X	2	5.02920552995287e-17
3.5	Y	2	4.26516721309706e-15
3.5	Z	2	0.63056063436705
3.5	X	3	-2.77653718142603e-15
3.5	Y	3	3.37763191296535e-15
3.5	Z	3	0.439272921037205

3.6	X	1	-2.21693958531372e-15
3.6	Y	1	-5.14749670606534e-15
3.6	Z	1	0.567529049694413
3.6	X	2	1.65315455987899e-15
3.6	Y	2	3.75300399216107e-15
3.6	Z	2	0.55533957885849
3.6	X	3	-2.51255871420279e-15
3.6	Y	3	2.99655984065469e-15
3.6	Z	3	0.481778719303994

3.7	X	1	-4.57860780544793e-15
3.7	Y	1	-2.99327626419471e-15
3.7	Z	1	0.608895879509813
3.7	X	2	3.34413363968275e-15
3.7	Y	2	2.55537206929401e-15
3.7	Z	2	0.493002417890766
3.7	X	3	-1.37054975972368e-15
3.7	Y	3	2.18530020334117e-15
3.7	Z	3	0.51663304132366

3.8	X	1	-6.41313499642195e-15
3.8	Y	1	-3.55602916503072e-16
3.8	Z	1	0.635630534396925
3.8	X	2	5.08742719425864e-15
3.8	Y	2	6.23160498182431e-16
3.8	Z	2	0.462931694845129
3.8	X	3	6.83667107102532e-16
3.8	Y	3	8.17135473687023e-16
3.8	Z	3	0.533714952332164

3.9	X	1	-7.49769636780035e-15
3.9	Y	1	2.09496429908978e-15
3.9	Z	1	0.643492558288842
3.9	X	2	7.10718712927748e-15
3.9	Y	2	-1.05561716093287e-15
3.9	Z	2	0.47316872588548
3.9	X	3	3.95159439909327e-15
3.9	Y	3	-4.11325246641892e-16
3.9	Z	3	0.529224966828265

4	X	1	-7.57435822271703e-15
4	Y	1	3.72987966705442e-15
4	Z	1	0.6342071242342
4	X	2	8.02985737160206e-15
4	Y	2	-1.50920751656239e-15
4	Z	2	0.51869191717538
4	X	3	7.27184585867489e-15
4	Y	3	-1.19125342366142e-15
4	Z	3	0.506460866518041

4.1	X	1	-6.58049618806565e-15
4.1	Y	1	4.40159604929093e-15
4.1	Z	1	0.614401977728307
4.1	X	2	6.93458398780037e-15
4.1	Y	2	-1.08638084886245e-15
4.1	Z	2	0.583869745688241
4.1	X	3	9.22002824006043e-15
4.1	Y	3	-1.32337471031814e-15
4.1	Z	3	0.474427776309698

4.2	X	1	-4.88701637810683e-15
4.2	Y	1	4.22442633574338e-15
4.2	Z	1	0.593031594806968
4.2	X	2	4.83104170017378e-15
4.2	Y	2	-7.14903893191309e-16
4.2	Z	2	0.64804087385877
4.2	X	3	1.05069637718423e-14
4.2	Y	3	-2.06168674103163e-15
4.2	Z	3	0.44483389170302

4.3	X	1	-3.02439351639358e-15
4.3	Y	1	3.35543292366451e-15
4.3	Z	1	0.57823025100221
4.3	X	2	2.82798095837643e-15
4.3	Y	2	-2.70657033127598e-16
4.3	Z	2	0.692274410309982
4.3	X	3	1.13833787286872e-14
4.3	Y	3	-3.14478014371697e-15
4.3	Z	3	0.428477149240034

4.4	X	1	-1.33257726454036e-15
4.4	Y	1	2.08545525905826e-15
4.4	Z	1	0.574652255830748
4.4	X	2	1.26548028049832e-15
4.4	Y	2	5.36505501027453e-16
4.4	Z	2	0.705130085143584
4.4	X	3	1.15882909916295e-14
